Sector;Rate
Technology;5
Technology;3
Technology;8
Technology;8
Technology;9
Technology;1
Technology;3
Technology;1
Technology;8
Technology;2
Technology;9
Technology;1
Technology;10
Technology;9
Technology;7
Technology;4
Technology;4
Technology;7
Technology;6
Technology;10
Technology;2
Technology;2
Technology;5
Technology;8
Technology;7
Technology;5
Technology;6
Technology;1
Technology;10
Technology;5
Technology;2
Technology;10
Technology;1
Technology;5
Technology;10
Technology;7
Technology;8
Technology;2
Technology;5
Technology;6
Technology;3
Technology;1
Technology;1
Technology;1
Technology;8
Technology;7
Technology;4
Technology;7
Technology;3
Technology;6
Technology;7
Technology;10
Technology;6
Technology;10
Technology;6
Technology;4
Technology;10
Technology;10
Technology;8
Technology;7
Technology;5
Technology;8
Technology;7
Technology;5
Technology;10
Technology;2
Technology;10
Technology;9
Technology;3
Technology;3
Technology;6
Technology;4
Technology;9
Technology;8
Technology;3
Technology;10
Technology;5
Technology;3
Technology;9
Technology;9
Technology;8
Technology;6
Technology;3
Technology;2
Technology;2
Technology;8
Technology;3
Technology;3
Technology;6
Technology;10
Technology;7
Technology;7
Technology;6
Technology;5
Technology;1
Technology;9
Technology;6
Technology;10
Technology;7
Technology;7
Technology;9
Technology;2
Technology;6
Technology;9
Technology;3
Technology;6
Technology;3
Technology;5
Technology;2
Technology;8
Technology;1
Technology;7
Technology;1
Technology;9
Technology;3
Technology;2
Technology;5
Technology;3
Technology;6
Technology;7
Technology;5
Technology;9
Technology;4
Technology;7
Technology;2
Technology;7
Technology;4
Technology;3
Technology;5
Technology;2
Technology;5
Technology;7
Technology;7
Technology;2
Technology;9
Technology;5
Technology;2
Technology;3
Technology;5
Technology;3
Technology;1
Technology;9
Technology;4
Technology;3
Technology;8
Technology;3
Technology;10
Technology;2
Technology;3
Technology;6
Technology;2
Technology;3
Technology;7
Technology;5
Technology;6
Technology;7
Technology;7
Technology;6
Technology;1
Technology;3
Technology;6
Technology;3
Technology;6
Technology;5
Technology;2
Technology;5
Technology;9
Technology;10
Technology;1
Technology;7
Technology;6
Technology;1
Technology;7
Technology;10
Technology;7
Technology;2
Technology;5
Technology;2
Technology;7
Technology;2
Technology;8
Technology;1
Technology;4
Technology;5
Technology;7
Technology;5
Technology;1
Technology;5
Technology;7
Technology;3
Technology;9
Technology;8
Technology;4
Technology;9
Technology;6
Technology;6
Technology;5
Technology;1
Technology;1
Technology;6
Technology;10
Technology;7
Technology;4
Technology;3
Technology;6
Technology;9
Technology;1
Technology;4
Technology;10
Technology;7
Technology;1
Technology;7
Technology;2
Technology;1
Technology;5
Technology;6
Technology;4
Technology;2
Technology;6
Technology;5
Technology;8
Technology;4
